,RA,DEC
711,43.304809,-1.289136
712,43.33311,-35.565936
713,43.335951,-35.556683
714,43.348513,-1.276905
715,43.3689,-30.331381
716,43.398771,-30.829672
717,43.499171,-1.183789
718,43.501865,-1.469625
719,43.506873,0.007692
720,43.520646,-1.338253
721,43.860694,-54.32774
722,43.931338,-0.165247
723,43.935318,-34.76422
724,43.946374,0.761926
725,43.977281,-0.600731
726,43.996434,-54.507906
727,44.001257,-54.58093
728,44.00973,-30.312081
729,44.175473,-35.658951
730,44.265187,-0.236332
731,44.268178,-34.303014999999995
732,44.381598,-35.091578
733,44.422003,-36.866148
734,44.483699,-1.232236
735,44.516531,0.06027
736,44.7294,-36.993669
737,44.755375,-36.6814
738,44.761072,-36.930369
739,45.040308,-37.891958
740,45.262599,-37.155679
741,45.356964,-38.134294
742,45.391006,-36.337965
743,45.527436,-37.615197
744,45.689409,-39.50714
745,45.717076,-37.032507
746,45.951348,-39.308333
747,45.953463,-39.033161
748,45.974894,-35.78111
749,46.007878,-37.625072
750,46.013595,-39.398291
751,46.024103,-35.668976
752,46.08967,-39.200831
753,46.163951,-39.197189
754,46.230828,-39.30196
755,46.250963,-30.746396
756,46.253299,-38.408221
757,46.266287,-39.566491
758,46.321595,-56.218188
759,46.3701,-37.878336
760,46.432322,-37.668679
761,46.526202,-36.676311
762,46.543428,-39.062573
763,46.572981,-39.034722
764,46.582464,-39.007184
765,46.658863,-36.766035
766,46.763155,-34.809752
767,46.829477,-39.98757
768,46.864611,-30.383824
769,46.888691,-35.654524
770,46.906633,-37.441588
771,46.939239,-40.75563
772,46.968291,-35.370646
773,46.990332,-35.992663
774,47.051045,-36.63955
775,47.093579,-32.804854
776,47.101882,-50.925436
777,47.107093,-36.69921
778,47.109036,-56.131153
779,47.189993,-39.978988
780,47.238775,-35.193598
781,47.284585,-40.10595
782,47.333357,-36.509242
783,47.354873,-41.082441
784,47.372441,-41.598798
785,47.381225,-40.789081
786,47.404942,-40.819352
787,47.424465,-35.539415
788,47.455844,-40.692072
789,47.465512,-41.303772
790,47.479979,-50.617068
791,47.49844,-38.082188
792,47.597764,-39.626685
793,47.600972,-36.214708
794,47.660453,-39.727737
795,47.737645,-40.721619
796,47.8162,-39.956854
797,47.874764,-56.330663
798,47.89224,-39.116999
799,47.975271,-36.988875
800,47.981528,-55.366602
801,47.997364,-50.304028
802,48.009037,-50.331692
803,48.019858,-50.460732
804,48.041769,-42.02693
805,48.061925,-41.733342
806,48.065189,-36.347636
807,48.112639,-38.735779
808,48.112996,-55.970359
809,48.140875,-30.306612
810,48.181855,-34.385943
811,48.204428,-39.197274
812,48.206589,-50.297888
813,48.220206,-50.888714
814,48.281929,-37.561953
815,48.332349,-30.454517
816,48.365827,-50.801439
817,48.38534,-38.749807
818,48.441383,-41.724001
819,48.452767,-40.70553
820,48.500274,-40.288671
821,48.560508,-50.288107
822,48.575213,-55.820975
823,48.581414,-37.846772
824,48.597356,-39.001346
825,48.607614,-40.594044
826,48.638993,-39.916416
827,48.66843,-55.605305
828,48.680638,-55.916159
829,48.703425,-39.010008
830,48.801404,-36.883414
831,48.849756,-51.024891
832,48.903015,-38.322884
833,48.92643,-55.722406
834,48.961221,-35.277716
835,48.969368,-34.686355
836,48.984242,-34.903057
837,49.012759,-39.372357
838,49.047083,-36.569562
839,49.082929,-55.442538
840,49.08856,-34.605096
841,49.090594,-50.656614
842,49.09247,-35.81537
843,49.22767,-40.372583
844,49.233885,-39.128653
845,49.240066,-38.479802
846,49.255884,-41.700134
847,49.26784,-30.116094
848,49.293482,-44.274599
849,49.33528,-39.269317
850,49.372461,-40.972432
851,49.381323,-36.091657
852,49.389531,-44.582349
853,49.414719,-38.522547
854,49.423737,-37.144187
855,49.4665,-36.765218
856,49.490879,-44.47587
857,49.522806,-37.33949
858,49.543624,-38.505171
859,49.559212,-44.794113
860,49.595007,-41.410558
861,49.627003,-35.008371
862,49.64846,-30.49272
863,49.679532,-41.024026
864,49.69093,-35.54578
865,49.696417,-42.199608
866,49.797896,-50.889813
867,49.825274,-34.92249
868,49.842883,-37.587159
869,49.907355,-40.421091
870,49.910601,-37.511476
871,49.949498,-38.232081
872,49.96753,-37.008027
873,50.045995,-36.209191
874,50.059862,-36.675343
875,50.102881,-42.105626
876,50.121329,-38.985898
877,50.1798,-39.296003
878,50.180535,-39.178173
879,50.18099,-39.218574
880,50.252423,-45.12941
881,50.29064,-37.194331
882,50.291686,-43.0765
883,50.300105,-36.2655
884,50.30336,-45.877726
885,50.328872,-38.82839
886,50.378415,-45.271534
887,50.395589,-41.195592
888,50.417972,-43.826735
889,50.484908,-41.291369
890,50.501925,-42.908108
891,50.502312,-45.198935
892,50.521249,-39.19864
893,50.559431,-40.609245
894,50.565972,-50.332015
895,50.579857,-38.196642
896,50.586365,-36.570198
897,50.606909,-41.420723
898,50.612463,-56.296302
899,50.668023,-42.693695
900,50.711813,-35.960995
901,50.73365,-41.39729
902,50.742406,-41.095494
903,50.748257,-36.765915
904,50.834272,-35.629862
905,50.838249,-37.11311
906,50.863001,-36.438427
907,50.868678,-37.847901
908,50.878795,-36.825373
909,50.882147,-43.95186
910,50.889818,-36.982758
911,50.900362,-39.60194
912,50.915728,-37.094888
913,50.936298,-44.961395
914,50.942441,-43.978898
915,50.983632,-44.823635
916,51.016457,-43.392696
917,51.028726,-36.381714
918,51.031961,-50.807109
919,51.067096,-35.69865
920,51.069943,-43.88479
921,51.120973,-40.637607
922,51.129732,-36.64521
923,51.137909,-30.182961
924,51.146135,-40.221867
925,51.154639,-42.77311
926,51.161496,-50.732869
927,51.162625,-37.584774
928,51.192055,-37.058443
929,51.211012,-45.983143
930,51.224844,-37.598293
931,51.282101,-36.686592
932,51.337368,-38.844515
933,51.342178,-37.072316
934,51.385451,-51.349733
935,51.442564,-35.509868
936,51.475941,-36.71363
937,51.477043,-30.226791
938,51.503208,-36.794189
939,51.503503,-39.616861
940,51.505068,-37.570302
941,51.534618,-43.634971
942,51.594127,-40.495474
943,51.611833,-46.617312
944,51.617219,-36.953627
945,51.648427,-36.527322
946,51.64854,-37.315244
947,51.668263,-35.185204
948,51.68016,-51.133212
949,51.681033,-37.298938
950,51.708442,-57.960662
951,51.722927,-37.392901
952,51.725532,-35.518479
953,51.731412,-37.547729
954,51.776197,-40.214759
955,51.777541,-31.107529
956,51.798517,-37.0625
957,51.800642,-46.13945
958,51.833024,-36.454282
959,51.84026,-36.146579
960,51.85838,-39.690511
961,51.869532,-34.947582
962,51.89863,-36.141745
963,51.905221,-47.260808
964,51.927674,-35.726751
965,51.932439,-42.498085
966,51.943066,-38.439915
967,51.95912,-30.787147
968,51.975611,-37.375695
969,52.000389,-35.07893
970,52.002021,-38.537289
971,52.062143,-40.641296
972,52.067247,-35.537596
973,52.068915,-36.928905
974,52.09926,-34.976559
975,52.127875,-39.507567
976,52.136053,-30.066624
